Case ID,Activity,Complete Timestamp
1-354376900,Accepted-In Progress,16:03.0
1-354376900,Completed-Closed,16:53.0
1-354376900,Accepted-Wait,04:37.0
1-354376900,Accepted-In Progress,16:15.0
1-356055231,Accepted-In Progress,10:59.0
1-356055231,Accepted-Wait,13:19.0
1-356055231,Queued-Awaiting Assignment,44:01.0
1-356055231,Accepted-In Progress,46:47.0
1-356055231,Accepted-Wait,46:58.0
1-356055231,Accepted-Assigned,20:33.0
1-356055231,Accepted-Wait,20:57.0
1-356055231,Completed-Closed,59:01.0
1-356879617,Completed-Closed,02:07.0
1-356879617,Accepted-Assigned,12:06.0
1-356879617,Accepted-In Progress,11:57.0
1-356879617,Accepted-In Progress,09:42.0
1-356879617,Accepted-In Progress,01:46.0
1-356879617,Accepted-In Progress,08:30.0
1-356879617,Accepted-In Progress,39:44.0
1-356879617,Accepted-In Progress,04:51.0
1-356879617,Accepted-In Progress,09:05.0
1-356879617,Queued-Awaiting Assignment,45:58.0
1-357087417,Accepted-In Progress,54:12.0
1-357087417,Queued-Awaiting Assignment,04:33.0
1-357087417,Accepted-In Progress,53:51.0
1-357087417,Accepted-Assigned,00:54.0
1-357087417,Accepted-In Progress,01:17.0
1-357087417,Completed-Closed,30:21.0
1-357610411,Completed-Closed,42:48.0
1-357610411,Accepted-Wait,21:17.0
1-357610411,Accepted-In Progress,41:18.0
1-358038911,Accepted-In Progress,25:03.0
1-358038911,Unmatched-Unmatched,44:02.0
1-358038911,Accepted-In Progress,54:31.0
1-358038911,Accepted-Wait,13:10.0
1-358038911,Accepted-In Progress,59:31.0
1-358038911,Completed-Closed,59:59.0
1-358776870,Accepted-In Progress,17:56.0
1-358776870,Accepted-Wait,19:32.0
1-358776870,Completed-Closed,59:03.0
1-359215498,Accepted-Wait,21:08.0
1-359215498,Completed-Closed,01:23.0
1-359215498,Accepted-Assigned,09:41.0
1-359215498,Accepted-In Progress,28:51.0
1-359215498,Accepted-Assigned,11:23.0
1-359781492,Accepted-In Progress,02:02.0
1-359781492,Completed-Closed,27:03.0
1-359841262,Completed-Closed,24:59.0
1-359841262,Accepted-In Progress,24:45.0
1-359841262,Accepted-In Progress,28:42.0
1-359841262,Accepted-Assigned,25:18.0
1-359841262,Accepted-In Progress,13:02.0
1-359841262,Queued-Awaiting Assignment,12:46.0
1-359841262,Accepted-In Progress,12:35.0
1-359841262,Queued-Awaiting Assignment,12:19.0
1-359841262,Accepted-In Progress,10:10.0
1-359841262,Accepted-In Progress,06:34.0
1-360072755,Accepted-Assigned,10:03.0
1-360072755,Accepted-In Progress,22:52.0
1-360072755,Accepted-Wait,23:04.0
1-360072755,Completed-Closed,24:51.0
1-360072755,Accepted-In Progress,49:00.0
1-360072755,Queued-Awaiting Assignment,04:56.0
1-360072755,Accepted-Assigned,55:50.0
1-360464815,Accepted-In Progress,40:16.0
1-360464815,Accepted-Wait,32:45.0
1-360464815,Accepted-In Progress,37:15.0
1-360464815,Completed-Closed,57:48.0
1-360667704,Accepted-Wait,42:52.0
1-360667704,Completed-Closed,17:27.0
1-360667704,Accepted-In Progress,44:27.0
1-361368011,Accepted-In Progress,13:30.0
1-361368011,Completed-Closed,15:58.0
1-361368011,Accepted-In Progress,44:05.0
1-363041157,Accepted-In Progress,24:05.0
1-363041157,Completed-Closed,16:39.0
1-363206822,Accepted-In Progress,03:21.0
1-363206822,Accepted-In Progress,05:35.0
1-363206822,Queued-Awaiting Assignment,05:48.0
1-363206822,Accepted-In Progress,28:50.0
1-363206822,Accepted-In Progress,39:08.0
1-363206822,Completed-Closed,39:40.0
1-363549934,Completed-Closed,10:41.0
1-363549934,Accepted-In Progress,09:44.0
1-363549934,Accepted-Assigned,30:58.0
1-363549934,Accepted-In Progress,30:54.0
1-363549934,Queued-Awaiting Assignment,41:32.0
1-363549934,Accepted-In Progress,38:31.0
1-364018090,Accepted-In Progress,13:33.0
1-364018090,Accepted-In Progress,41:00.0
1-364018090,Queued-Awaiting Assignment,43:06.0
1-364018090,Accepted-In Progress,43:07.0
1-364018090,Accepted-In Progress,46:20.0
1-364018090,Accepted-In Progress,45:29.0
1-364018090,Completed-Closed,18:24.0
1-364458525,Accepted-Wait,12:14.0
1-364458525,Completed-Closed,18:11.0
1-364458525,Accepted-In Progress,13:49.0
1-364458525,Accepted-In Progress,12:07.0
1-364528467,Accepted-In Progress,48:30.0
1-364528467,Accepted-In Progress,49:59.0
1-364528467,Queued-Awaiting Assignment,50:40.0
1-364528467,Accepted-In Progress,20:02.0
1-364528467,Accepted-Assigned,20:07.0
1-364528467,Accepted-In Progress,14:11.0
1-364528467,Completed-Closed,14:18.0
1-365052802,Completed-Closed,25:53.0
1-365052802,Accepted-In Progress,35:20.0
1-365052802,Unmatched-Unmatched,40:07.0
1-365052802,Accepted-Assigned,12:22.0
1-365052802,Accepted-In Progress,16:15.0
1-365052802,Queued-Awaiting Assignment,07:00.0
1-365189372,Accepted-In Progress,35:51.0
1-365189372,Unmatched-Unmatched,30:28.0
1-365189372,Accepted-In Progress,58:28.0
1-365189372,Completed-Closed,00:21.0
1-365702595,Accepted-In Progress,07:36.0
1-365702595,Queued-Awaiting Assignment,09:05.0
1-365702595,Accepted-In Progress,33:49.0
1-365702595,Accepted-Assigned,33:54.0
1-365702595,Accepted-In Progress,00:16.0
1-365702595,Completed-Closed,49:12.0
1-366462246,Completed-Closed,40:52.0
1-366462246,Accepted-In Progress,40:26.0
1-366462246,Accepted-In Progress,14:40.0
1-366509892,Accepted-In Progress,37:25.0
1-366509892,Queued-Awaiting Assignment,47:56.0
1-366509892,Accepted-In Progress,56:39.0
1-366509892,Accepted-Assigned,56:44.0
1-366509892,Accepted-In Progress,42:19.0
1-366509892,Completed-Closed,42:50.0
1-366584206,Completed-Closed,25:51.0
1-366584206,Accepted-In Progress,25:49.0
1-366584206,Accepted-Assigned,59:07.0
1-366584206,Accepted-In Progress,59:01.0
1-366584206,Queued-Awaiting Assignment,44:30.0
1-366584206,Accepted-In Progress,38:30.0
1-366698569,Completed-Closed,11:59.0
1-366698569,Accepted-In Progress,11:40.0
1-366698569,Accepted-Assigned,03:31.0
1-366698569,Accepted-In Progress,01:34.0
1-366698569,Accepted-Assigned,29:07.0
1-366698569,Accepted-In Progress,37:07.0
1-366698569,Accepted-Wait,28:11.0
1-366698569,Accepted-In Progress,59:17.0
1-366698569,Accepted-In Progress,59:00.0
1-366698569,Accepted-Assigned,33:46.0
1-366726662,Accepted-In Progress,50:15.0
1-366726662,Accepted-In Progress,59:58.0
1-366726662,Accepted-Assigned,21:34.0
1-366726662,Accepted-Wait,22:31.0
1-366726662,Accepted-In Progress,00:10.0
1-366726662,Accepted-Wait,28:17.0
1-366726662,Completed-Closed,25:45.0
1-366923538,Accepted-In Progress,55:26.0
1-366923538,Accepted-Assigned,09:15.0
1-366923538,Accepted-In Progress,58:53.0
1-366923538,Completed-Closed,05:58.0
1-366923538,Accepted-In Progress,47:50.0
1-366923538,Queued-Awaiting Assignment,47:49.0
1-366923538,Accepted-In Progress,27:54.0
1-366923538,Queued-Awaiting Assignment,54:25.0
1-367002597,Accepted-In Progress,53:38.0
1-367002597,Accepted-In Progress,07:46.0
1-367002597,Accepted-In Progress,36:13.0
1-367002597,Completed-Closed,32:49.0
1-367648732,Accepted-In Progress,34:49.0
1-367648732,Queued-Awaiting Assignment,42:36.0
1-367648732,Accepted-In Progress,40:43.0
1-367648732,Accepted-Assigned,42:50.0
1-367648732,Accepted-In Progress,43:05.0
1-367648732,Completed-Closed,44:31.0
1-367921041,Accepted-Assigned,57:44.0
1-367921041,Accepted-In Progress,54:59.0
1-367921041,Accepted-Assigned,55:29.0
1-367921041,Completed-Closed,56:23.0
1-367921041,Accepted-Wait,27:41.0
1-367921041,Accepted-In Progress,48:47.0
1-367921041,Queued-Awaiting Assignment,27:17.0
1-367921041,Queued-Awaiting Assignment,08:20.0
1-367921041,Queued-Awaiting Assignment,00:21.0
1-367921041,Accepted-In Progress,54:38.0
1-367921041,Accepted-In Progress,02:51.0
1-367921041,Accepted-In Progress,07:37.0
1-368322765,Accepted-Assigned,03:18.0
1-368322765,Accepted-Assigned,08:19.0
1-368322765,Completed-Closed,28:52.0
1-368322765,Accepted-In Progress,26:37.0
1-368322765,Accepted-Wait,14:36.0
1-368322765,Accepted-In Progress,03:14.0
1-368322765,Accepted-Assigned,12:21.0
1-368322765,Queued-Awaiting Assignment,49:05.0
1-368322765,Queued-Awaiting Assignment,29:35.0
1-368322765,Accepted-In Progress,25:52.0
1-368322765,Accepted-In Progress,08:08.0
1-368322765,Queued-Awaiting Assignment,20:14.0
1-368322765,Accepted-In Progress,12:11.0
1-368929048,Accepted-In Progress,51:56.0
1-368929048,Queued-Awaiting Assignment,08:11.0
1-368929048,Accepted-In Progress,19:48.0
1-368929048,Accepted-Assigned,23:29.0
1-368929048,Accepted-In Progress,06:12.0
1-368929048,Completed-Closed,36:08.0
1-369693874,Accepted-In Progress,24:04.0
1-369693874,Completed-Closed,11:34.0
1-369693874,Accepted-Assigned,12:24.0
1-369693874,Accepted-In Progress,08:15.0
1-369693874,Queued-Awaiting Assignment,44:34.0
1-369693874,Accepted-In Progress,41:03.0
1-369989135,Accepted-In Progress,40:49.0
1-369989135,Accepted-In Progress,43:59.0
1-369989135,Accepted-In Progress,15:14.0
1-369989135,Accepted-Assigned,18:16.0
1-369989135,Accepted-In Progress,53:09.0
1-369989135,Completed-Closed,08:20.0
1-370436092,Queued-Awaiting Assignment,23:56.0
1-370436092,Accepted-In Progress,47:12.0
1-370436092,Accepted-In Progress,23:20.0
1-370436092,Completed-Closed,07:27.0
1-370436092,Accepted-In Progress,28:29.0
1-370436092,Accepted-Assigned,21:03.0
1-370436092,Accepted-In Progress,07:12.0
1-370452680,Accepted-In Progress,58:57.0
1-370452680,Queued-Awaiting Assignment,01:26.0
1-370452680,Accepted-In Progress,20:48.0
1-370452680,Accepted-Assigned,22:02.0
1-370452680,Queued-Awaiting Assignment,10:31.0
1-370452680,Accepted-In Progress,58:32.0
1-370452680,Accepted-Wait,59:24.0
1-370452680,Completed-Closed,44:59.0
1-371498622,Accepted-In Progress,30:42.0
1-371498622,Completed-Closed,31:12.0
1-371498622,Accepted-Assigned,27:46.0
1-371498622,Accepted-In Progress,24:58.0
1-371498622,Queued-Awaiting Assignment,23:17.0
1-371498622,Accepted-In Progress,15:44.0
1-371631962,Accepted-In Progress,21:02.0
1-371631962,Completed-Closed,17:35.0
1-371672096,Accepted-In Progress,44:03.0
1-371672096,Queued-Awaiting Assignment,24:34.0
1-371672096,Accepted-In Progress,09:25.0
1-371672096,Accepted-Assigned,09:30.0
1-371672096,Accepted-In Progress,57:22.0
1-371672096,Completed-Closed,10:51.0
1-372029512,Accepted-Wait,21:34.0
1-372029512,Accepted-Wait,00:12.0
1-372029512,Accepted-Assigned,43:59.0
1-372029512,Completed-Closed,18:55.0
1-372029512,Accepted-In Progress,59:18.0
1-372029512,Queued-Awaiting Assignment,43:52.0
1-372029512,Unmatched-Unmatched,05:00.0
1-372029512,Accepted-In Progress,36:41.0
1-372555278,Completed-Closed,11:49.0
1-372555278,Accepted-In Progress,31:40.0
1-372555278,Accepted-Assigned,48:09.0
1-372555278,Accepted-In Progress,47:12.0
1-372555278,Accepted-In Progress,38:28.0
1-372555278,Queued-Awaiting Assignment,47:19.0
1-372555278,Accepted-In Progress,25:46.0
1-372555278,Accepted-Assigned,36:20.0
1-372555278,Accepted-In Progress,47:32.0
1-372555278,Queued-Awaiting Assignment,41:26.0
1-372555278,Accepted-Wait,02:17.0
1-372579132,Accepted-In Progress,01:38.0
1-372579132,Queued-Awaiting Assignment,07:54.0
1-372579132,Accepted-In Progress,36:38.0
1-372579132,Accepted-Assigned,41:50.0
1-372579132,Accepted-In Progress,52:05.0
1-372579132,Completed-Closed,56:49.0
1-372858362,Completed-Closed,06:41.0
1-372858362,Accepted-In Progress,01:59.0
1-372858362,Accepted-Assigned,25:17.0
1-372858362,Accepted-In Progress,18:30.0
1-372858362,Accepted-In Progress,11:58.0
1-372858362,Queued-Awaiting Assignment,13:34.0
1-372978779,Accepted-In Progress,01:33.0
1-372978779,Accepted-In Progress,03:39.0
1-372978779,Accepted-In Progress,03:44.0
1-372978779,Queued-Awaiting Assignment,05:09.0
1-372978779,Accepted-In Progress,04:00.0
1-372978779,Accepted-Assigned,04:07.0
1-372978779,Accepted-In Progress,58:10.0
1-372978779,Completed-Closed,38:43.0
1-373110819,Completed-Closed,50:31.0
1-373110819,Accepted-Assigned,06:49.0
1-373110819,Accepted-In Progress,48:56.0
1-373110819,Accepted-In Progress,04:54.0
1-373110819,Accepted-In Progress,59:40.0
1-373110819,Queued-Awaiting Assignment,02:27.0
1-373268674,Accepted-In Progress,56:33.0
1-373268674,Queued-Awaiting Assignment,05:42.0
1-373268674,Accepted-In Progress,43:08.0
1-373268674,Accepted-Assigned,50:11.0
1-373268674,Accepted-In Progress,51:00.0
1-373268674,Completed-Closed,52:14.0
1-373413519,Accepted-In Progress,59:22.0
1-373413519,Accepted-Assigned,19:05.0
1-373413519,Completed-Closed,00:09.0
1-373413519,Accepted-In Progress,18:59.0
1-373413519,Queued-Awaiting Assignment,05:48.0
1-373413519,Accepted-In Progress,03:29.0
1-373413971,Accepted-In Progress,04:31.0
1-373413971,Queued-Awaiting Assignment,11:11.0
1-373413971,Accepted-In Progress,23:06.0
1-373413971,Accepted-Assigned,23:10.0
1-373413971,Accepted-In Progress,54:21.0
1-373413971,Completed-Closed,48:35.0
1-374379174,Accepted-In Progress,32:00.0
1-374379174,Completed-Closed,32:25.0
1-374379174,Accepted-Wait,50:54.0
1-374379174,Accepted-In Progress,50:39.0
1-374379174,Queued-Awaiting Assignment,18:34.0
1-374379174,Accepted-In Progress,58:36.0
1-374630866,Accepted-In Progress,55:23.0
1-374630866,Queued-Awaiting Assignment,43:22.0
1-374630866,Accepted-In Progress,57:03.0
1-374630866,Accepted-Assigned,58:48.0
1-374630866,Accepted-In Progress,52:26.0
1-374630866,Completed-Closed,54:03.0
1-374832944,Accepted-Assigned,30:00.0
1-374832944,Accepted-In Progress,11:00.0
1-374832944,Completed-Closed,58:08.0
1-374832944,Accepted-In Progress,57:19.0
1-374832944,Queued-Awaiting Assignment,28:29.0
1-374832944,Queued-Awaiting Assignment,45:23.0
1-374832944,Queued-Awaiting Assignment,07:49.0
1-374832944,Accepted-In Progress,30:53.0
1-375337251,Accepted-In Progress,32:13.0
1-375337251,Queued-Awaiting Assignment,44:34.0
1-375337251,Accepted-In Progress,30:49.0
1-375337251,Accepted-Assigned,33:22.0
1-375337251,Accepted-In Progress,42:20.0
1-375337251,Completed-Closed,13:07.0
1-375430388,Completed-Closed,55:46.0
1-375430388,Accepted-In Progress,54:32.0
1-375430388,Accepted-Assigned,30:17.0
1-375430388,Accepted-In Progress,27:35.0
1-375430388,Queued-Awaiting Assignment,30:59.0
1-375430388,Accepted-In Progress,28:06.0
1-375644051,Accepted-In Progress,42:48.0
1-375644051,Accepted-Wait,49:29.0
1-375644051,Accepted-In Progress,13:19.0
1-375644051,Queued-Awaiting Assignment,47:29.0
1-375644051,Accepted-In Progress,49:06.0
1-375644051,Queued-Awaiting Assignment,55:00.0
1-375644051,Accepted-In Progress,18:56.0
1-375644051,Completed-Closed,57:17.0
1-375646314,Completed-Closed,46:33.0
1-375646314,Accepted-In Progress,44:05.0
1-375646314,Accepted-Assigned,55:45.0
1-375646314,Queued-Awaiting Assignment,32:07.0
1-375646314,Accepted-In Progress,55:40.0
1-375646314,Accepted-In Progress,27:54.0
1-375670011,Accepted-In Progress,17:44.0
1-375670011,Completed-Closed,31:56.0
1-376424233,Accepted-Assigned,41:08.0
1-376424233,Accepted-In Progress,14:03.0
1-376424233,Completed-Closed,42:34.0
1-377083756,Accepted-In Progress,50:43.0
1-377083756,Queued-Awaiting Assignment,40:03.0
1-377083756,Accepted-In Progress,19:00.0
1-377083756,Accepted-Assigned,08:34.0
1-377083756,Accepted-In Progress,08:29.0
1-377083756,Accepted-In Progress,06:31.0
1-377083756,Completed-Closed,51:53.0
1-377083756,Accepted-In Progress,29:35.0
1-377083756,Accepted-In Progress,35:32.0
1-377083756,Accepted-In Progress,19:11.0
1-377083756,Queued-Awaiting Assignment,34:03.0
1-377083756,Accepted-Wait,38:36.0
1-377083756,Accepted-Assigned,19:04.0
1-377276064,Accepted-In Progress,59:47.0
1-377276064,Accepted-Assigned,37:11.0
1-377276064,Completed-Closed,01:20.0
1-377276064,Accepted-In Progress,37:06.0
1-377276064,Queued-Awaiting Assignment,29:29.0
1-377276064,Accepted-In Progress,21:51.0
1-377458451,Accepted-In Progress,14:09.0
1-377458451,Queued-Awaiting Assignment,16:27.0
1-377458451,Accepted-In Progress,35:15.0
1-377458451,Accepted-Assigned,35:21.0
1-377458451,Accepted-In Progress,18:21.0
1-377458451,Completed-Closed,20:11.0
1-378050311,Completed-Closed,34:47.0
1-378050311,Accepted-In Progress,37:32.0
1-378050311,Accepted-Assigned,51:32.0
1-378050311,Completed-Closed,46:08.0
1-378050311,Completed-Closed,13:44.0
