,Case ID,Activity,Complete Timestamp
229,90,6,2010-03-17 18:49:51
230,91,1,2011-05-24 20:51:35
231,91,8,2011-05-24 20:52:07
232,91,6,2011-05-24 21:36:11
233,92,1,2010-03-09 19:09:33
234,92,8,2010-03-09 19:09:44
235,92,6,2010-03-18 18:27:56
238,93,8,2012-07-30 17:39:04
236,93,6,2012-08-02 23:14:07
237,93,1,2012-07-25 15:02:54
241,94,8,2012-02-08 17:34:08
239,94,6,2012-02-08 17:34:34
240,94,1,2012-02-08 17:33:56
242,95,1,2011-09-26 18:27:14
243,95,8,2011-09-29 21:54:32
244,95,6,2011-09-30 17:09:23
245,96,1,2012-02-28 01:31:32
246,96,8,2012-02-28 17:52:59
247,96,6,2012-02-29 17:25:13
248,96,6,2012-02-29 17:25:14
251,98,8,2012-07-05 20:20:39
249,98,6,2012-07-09 21:21:24
250,98,1,2012-07-05 20:16:51
254,99,8,2011-05-11 18:17:55
252,99,6,2011-05-16 16:33:29
253,99,1,2011-05-11 18:16:32
255,101,3,2010-06-18 21:47:15
256,101,1,2010-06-18 22:18:15
257,101,8,2010-06-29 15:35:47
258,101,6,2010-06-29 16:33:07
260,102,8,2012-01-30 18:09:57
259,102,1,2012-01-30 18:09:29
261,102,6,2012-01-31 17:12:06
266,103,9,2010-06-08 18:37:29
268,103,1,2010-06-07 15:30:54
265,103,1,2010-06-07 15:49:10
267,103,6,2010-06-16 17:23:07
263,103,2,2010-06-09 15:18:28
262,103,8,2010-06-07 23:16:44
264,103,8,2010-06-09 15:18:05
269,104,1,2011-01-27 17:34:59
270,104,8,2011-01-27 18:32:40
271,104,6,2011-01-27 18:34:24
272,108,1,2011-01-12 20:28:16
273,108,8,2011-01-24 18:21:26
274,108,6,2011-01-26 17:12:39
275,109,1,2010-09-24 23:35:31
276,109,8,2010-09-27 17:11:48
277,109,9,2010-09-28 16:31:41
278,109,8,2010-11-08 18:33:36
279,109,6,2010-11-08 18:33:57
282,110,8,2010-12-16 18:40:25
280,110,6,2010-12-17 00:52:50
281,110,1,2010-12-16 18:33:24
283,111,1,2010-06-29 22:00:48
284,111,8,2010-06-29 23:16:26
285,111,6,2010-06-30 16:05:04
286,111,8,2010-06-30 22:19:00
287,111,9,2010-07-01 17:00:03
288,111,8,2010-07-02 22:07:18
289,111,6,2010-07-02 22:08:52
290,112,1,2011-10-06 15:50:55
291,112,8,2011-10-07 22:03:47
292,112,6,2011-10-14 22:44:32
296,113,6,2010-05-25 22:11:28
295,113,8,2010-05-25 21:48:24
293,113,3,2010-05-06 23:51:48
294,113,1,2010-05-24 18:23:15
297,116,1,2011-04-08 21:02:03
298,116,8,2011-04-08 21:02:38
299,116,6,2011-04-08 21:07:10
300,117,1,2012-07-19 18:59:25
301,117,8,2012-07-20 16:49:34
302,117,6,2012-07-20 22:44:15
303,118,1,2011-03-07 20:02:24
304,118,8,2011-03-07 20:02:41
305,118,6,2011-03-07 22:14:21
308,119,6,2011-12-13 18:22:04
307,119,8,2011-12-05 23:58:56
306,119,1,2011-12-05 23:22:17
309,120,1,2012-04-24 22:07:03
310,120,8,2012-05-08 18:53:06
311,120,9,2012-05-08 20:31:30
312,120,6,2012-05-08 22:04:27
313,121,1,2011-02-09 22:28:58
314,121,8,2011-02-09 23:21:02
315,121,6,2011-02-09 23:21:46
316,122,1,2011-02-15 00:23:08
317,122,8,2011-02-15 20:17:46
318,122,6,2011-02-15 20:52:47
323,123,9,2011-05-06 20:55:50
322,123,8,2011-05-12 21:45:43
319,123,6,2011-05-12 21:45:54
320,123,8,2011-05-06 15:33:39
321,123,1,2011-05-06 15:33:07
324,124,1,2012-06-07 23:31:32
325,124,8,2012-06-08 14:47:21
326,124,6,2012-06-08 14:47:30
327,125,1,2010-08-19 17:48:49
328,125,8,2010-08-19 17:49:49
329,125,9,2010-08-19 18:07:15
330,125,8,2010-09-13 16:15:21
331,125,6,2010-09-13 16:49:39
333,126,6,2012-08-27 22:18:05
334,126,1,2012-07-25 23:34:31
332,126,1,2012-08-27 21:28:50
335,127,1,2010-03-12 18:28:49
336,127,8,2010-03-12 18:29:00
337,127,6,2010-03-12 18:37:27
338,128,1,2011-11-28 17:10:27
339,128,6,2011-11-28 18:46:59
340,128,6,2011-11-28 18:46:59
344,130,6,2010-04-08 17:01:19
341,130,3,2010-04-08 16:58:03
342,130,1,2010-04-08 17:01:05
343,130,8,2010-04-08 17:01:11
346,132,6,2012-06-25 20:03:33
348,132,1,2012-06-21 20:50:46
347,132,9,2012-06-21 22:32:08
345,132,8,2012-06-21 21:30:02
349,133,1,2011-01-26 20:24:58
350,133,1,2011-01-26 20:59:56
351,133,8,2011-01-26 21:00:03
352,133,6,2011-01-28 23:29:17
353,134,1,2011-04-19 22:42:45
354,134,8,2011-04-19 22:45:25
355,134,6,2011-04-19 22:45:42
362,135,8,2011-02-08 20:58:01
361,135,8,2011-02-14 21:01:11
359,135,1,2011-02-08 20:57:41
360,135,6,2011-03-03 23:05:29
357,135,9,2011-02-10 17:27:30
356,135,6,2011-02-14 21:02:59
358,135,8,2011-03-03 18:46:37
363,136,1,2012-06-06 22:48:56
364,136,8,2012-06-07 20:19:44
365,136,6,2012-06-08 15:13:29
366,137,1,2011-08-05 21:00:13
367,137,8,2011-08-11 18:30:47
368,137,9,2011-08-12 21:42:55
369,137,6,2011-08-19 20:25:37
370,138,1,2012-03-02 18:13:46
371,138,8,2012-03-02 18:13:56
372,138,6,2012-03-02 18:34:03
375,139,8,2010-04-19 17:15:20
373,139,6,2010-04-19 17:26:05
374,139,1,2010-04-19 15:44:31
376,141,1,2011-01-12 19:39:32
377,141,8,2011-01-12 19:39:56
378,141,9,2011-01-12 19:50:26
379,141,8,2011-01-12 20:07:51
380,141,9,2011-01-12 20:34:34
381,141,8,2011-01-26 18:25:14
382,141,6,2011-01-26 18:26:04
385,142,8,2012-03-08 22:53:36
383,142,6,2012-03-09 23:48:25
384,142,1,2012-03-07 20:00:05
388,146,8,2010-10-05 23:09:10
386,146,6,2010-10-05 23:09:39
387,146,1,2010-10-05 22:55:27
389,148,1,2012-01-09 20:19:35
390,148,8,2012-01-10 01:14:26
391,148,6,2012-01-10 01:14:53
392,148,6,2012-01-10 01:14:53
394,149,8,2011-02-10 00:16:21
393,149,1,2011-02-09 23:35:27
395,149,6,2011-02-10 00:24:44
400,150,8,2011-05-26 15:55:33
401,150,6,2011-05-26 15:56:00
399,150,9,2011-05-23 23:20:54
398,150,8,2011-05-18 16:41:36
397,150,1,2011-05-18 16:39:49
396,150,3,2011-05-18 16:39:41
402,151,1,2010-02-10 19:25:33
403,151,8,2010-02-10 19:33:38
404,151,6,2010-02-10 19:33:49
405,152,1,2012-05-18 20:08:58
406,152,8,2012-05-24 18:00:37
407,152,6,2012-05-25 16:12:16
408,153,1,2012-07-02 15:35:06
409,153,8,2012-07-02 19:00:33
410,153,6,2012-07-02 19:01:29
415,155,9,2010-12-24 00:26:07
414,155,8,2011-01-18 20:15:13
411,155,6,2011-01-18 20:15:29
412,155,8,2010-12-17 19:45:21
413,155,1,2010-12-15 01:19:51
416,157,1,2011-05-24 15:13:23
417,157,8,2011-05-31 23:42:09
418,157,6,2011-06-06 18:19:01
421,158,8,2010-09-21 15:45:37
419,158,6,2010-09-21 15:53:48
420,158,1,2010-09-20 23:57:01
423,159,6,2011-09-27 21:20:30
424,159,1,2011-09-21 15:12:16
422,159,8,2011-09-21 15:46:44
426,160,6,2011-02-25 22:28:30
427,160,1,2011-02-25 19:55:02
425,160,8,2011-02-25 22:26:45
428,161,1,2010-08-10 15:16:09
429,161,8,2010-08-12 18:33:35
430,161,6,2010-08-13 15:24:41
431,162,1,2011-10-04 23:47:43
432,162,1,2011-10-07 21:29:10
433,162,6,2011-10-07 21:30:00
434,163,1,2010-10-15 16:27:20
435,163,8,2010-10-27 19:46:30
436,163,6,2010-10-27 19:46:36
437,164,1,2010-09-28 20:44:01
438,164,8,2010-09-28 20:46:50
439,164,6,2010-09-28 22:03:08
441,165,6,2012-01-14 01:36:49
440,165,1,2012-01-14 01:36:23
442,166,1,2010-02-11 17:48:50
443,166,8,2010-02-24 01:56:28
444,166,6,2010-02-24 01:56:36
445,167,1,2011-11-23 23:43:38
446,167,8,2011-11-25 19:12:19
447,167,9,2011-11-25 23:01:18
448,167,6,2011-11-28 18:25:00
449,167,6,2011-11-28 18:25:02
450,168,1,2012-01-09 19:01:47
451,168,8,2012-01-09 20:20:28
452,168,6,2012-01-09 20:21:29
457,170,8,2012-05-17 15:46:38
458,170,9,2012-05-17 15:47:13
456,170,6,2012-05-18 15:18:57
453,170,9,2012-05-03 16:01:21
454,170,1,2012-05-02 23:54:51
455,170,8,2012-05-03 15:51:09
459,171,1,2011-08-29 22:12:48
460,171,1,2011-08-30 17:49:49
461,171,8,2011-08-30 18:06:35
462,171,6,2011-08-31 15:34:45
463,172,1,2010-09-17 00:02:20
464,172,8,2010-09-21 22:03:12
465,172,6,2010-09-27 18:08:54
469,173,6,2010-11-16 22:01:14
468,173,8,2010-11-16 21:58:01
466,173,1,2010-11-15 18:15:12
467,173,1,2010-11-15 18:15:27
470,174,1,2011-10-24 18:22:28
471,174,8,2011-11-04 00:48:18
472,174,9,2011-11-05 01:24:35
473,174,6,2011-11-09 23:20:52
474,175,1,2010-10-05 15:46:59
475,175,8,2010-10-05 15:59:41
476,175,6,2010-10-05 16:00:18
479,176,8,2012-07-17 18:44:48
477,176,6,2012-07-18 21:11:34
478,176,1,2012-07-17 18:44:26
482,177,8,2012-01-18 17:21:52
480,177,6,2012-01-18 18:42:03
481,177,1,2012-01-18 17:12:04
483,178,1,2012-02-22 23:49:43
484,178,8,2012-02-22 23:49:52
485,178,6,2012-02-29 18:36:49
486,179,1,2012-04-11 21:30:07
487,179,8,2012-04-12 17:29:39
488,179,6,2012-04-12 20:57:39
489,180,1,2011-10-06 18:23:22
490,180,8,2011-10-06 22:07:44
491,180,6,2011-10-06 22:31:30
492,181,1,2011-09-29 17:51:55
493,181,6,2011-09-30 21:14:19
496,182,8,2010-05-24 18:55:17
494,182,6,2010-05-24 18:59:57
495,182,1,2010-05-20 16:31:32
497,183,3,2010-05-19 23:08:49
498,183,1,2010-05-20 15:53:47
499,183,8,2010-05-24 15:15:57
500,183,6,2010-05-24 15:18:09
501,185,1,2010-11-02 22:49:59
502,185,8,2010-11-03 23:06:18
503,185,9,2010-11-03 23:06:51
504,185,8,2010-11-18 18:52:12
505,185,6,2010-11-18 18:52:18
508,186,9,2012-07-13 21:48:10
509,186,6,2012-07-18 15:05:36
507,186,8,2012-07-13 21:25:40
506,186,1,2012-07-13 16:20:00
510,187,1,2010-10-25 21:14:08
511,187,8,2010-10-27 21:27:14
512,187,6,2010-10-27 21:29:30
513,188,1,2012-01-09 22:58:58
514,188,8,2012-01-09 22:59:09
515,188,6,2012-01-10 18:03:01
518,189,8,2010-02-03 23:27:07
519,189,6,2010-02-03 23:27:16
517,189,1,2010-02-02 23:04:15
516,189,1,2010-02-02 22:49:13
520,190,1,2011-02-22 00:36:25
521,190,8,2011-02-22 01:44:27
522,190,6,2011-03-03 23:26:19
523,194,1,2012-02-08 20:28:03
524,194,8,2012-02-10 19:28:30
525,194,6,2012-03-05 20:31:08
530,195,9,2010-09-29 16:04:55
531,195,8,2010-09-29 20:29:35
529,195,6,2010-09-29 20:29:47
532,195,9,2010-09-27 18:09:43
527,195,8,2010-09-23 17:25:07
526,195,1,2010-09-21 18:53:00
528,195,8,2010-09-29 15:06:22
535,196,8,2011-11-17 22:31:33
533,196,6,2011-11-17 22:32:09
534,196,1,2011-11-16 19:45:30
536,197,1,2012-06-01 16:18:57
537,197,8,2012-06-04 15:56:22
538,197,6,2012-06-04 17:46:33
539,197,6,2012-06-04 17:46:33
540,198,1,2011-04-28 21:46:15
541,198,8,2011-04-28 21:46:46
542,198,6,2011-05-09 23:43:48
543,199,8,2011-12-14 00:45:50
544,199,6,2011-12-14 19:27:28
547,200,6,2012-04-16 21:40:01
546,200,8,2012-04-13 23:07:02
545,200,1,2012-04-12 22:59:24
548,201,1,2011-08-22 15:06:31
549,201,8,2011-08-22 17:14:28
550,201,6,2011-08-22 17:31:48
551,203,1,2010-06-11 18:18:02
552,203,8,2010-06-11 20:22:40
553,203,6,2010-06-16 16:04:16
554,204,1,2011-11-01 00:30:39
555,204,8,2011-11-01 00:30:50
556,204,6,2011-11-02 22:41:11
560,205,8,2010-12-21 22:36:16
559,205,6,2010-12-21 23:31:29
561,205,8,2010-12-09 20:19:43
557,205,1,2010-12-07 20:10:52
558,205,9,2010-12-20 23:24:30
562,206,1,2011-03-04 19:26:28
563,206,8,2011-03-04 19:29:32
564,206,9,2011-03-04 20:32:51
565,206,8,2011-03-11 20:48:16
566,206,6,2011-03-11 20:48:28
567,207,1,2011-06-21 21:40:37
568,207,8,2011-06-23 21:54:10
569,207,6,2011-07-11 15:42:06
570,208,1,2010-10-12 18:50:55
571,208,8,2010-10-12 20:58:07
572,208,6,2010-10-12 23:05:33
575,209,8,2012-01-11 19:40:06
573,209,6,2012-01-11 19:41:58
574,209,1,2012-01-11 19:39:43
576,211,1,2012-08-02 18:02:57
577,211,6,2012-08-03 20:56:13
578,212,1,2012-05-14 20:39:34
579,212,8,2012-05-14 20:39:41
580,212,6,2012-05-14 21:28:38
581,213,1,2011-07-19 18:43:29
582,213,6,2011-07-27 16:19:08
583,214,1,2011-01-26 17:16:35
584,214,1,2011-01-26 17:57:02
585,214,8,2011-01-26 17:57:35
586,214,6,2011-01-27 17:24:33
589,215,8,2010-04-27 22:30:12
587,215,6,2010-04-27 22:30:18
588,215,1,2010-04-15 15:13:46
590,216,1,2010-03-24 20:14:07
591,216,1,2010-03-24 20:14:29
592,216,8,2010-03-24 20:14:37
593,216,6,2010-03-24 20:14:41
594,217,1,2011-03-04 18:34:36
595,217,8,2011-03-04 18:35:05
596,217,6,2011-03-09 00:20:32
603,218,8,2011-03-26 01:17:36
602,218,8,2011-03-28 17:02:16
600,218,1,2011-03-26 01:16:00
601,218,6,2011-04-08 21:01:12
598,218,6,2011-03-26 01:31:47
597,218,9,2011-03-31 23:35:15
599,218,8,2011-04-08 20:49:14
604,219,8,2011-11-11 19:10:51
605,219,9,2011-11-11 19:52:25
606,219,8,2011-11-15 17:46:26
607,219,6,2011-11-15 17:47:32
608,219,6,2011-11-15 17:47:33
609,220,1,2011-07-25 19:03:37
610,220,8,2011-07-28 21:41:04
611,220,9,2011-08-04 17:47:48
612,220,6,2011-08-04 21:25:57
615,221,8,2011-11-26 00:11:06
613,221,6,2011-11-28 20:46:18
614,221,1,2011-11-23 19:46:01
616,222,1,2012-02-01 20:34:03
617,222,6,2012-02-01 20:35:16
618,223,1,2012-03-15 22:28:02
619,223,8,2012-03-16 20:30:26
620,223,6,2012-03-17 00:29:01
621,223,6,2012-03-17 00:29:02
625,224,6,2012-05-29 16:06:03
624,224,9,2012-05-28 22:41:06
622,224,1,2012-05-28 22:20:59
623,224,8,2012-05-28 22:21:21
626,225,1,2011-07-21 21:48:19
627,225,6,2011-07-22 21:05:46
628,226,1,2011-04-12 00:01:34
629,226,8,2011-04-12 00:01:52
630,226,6,2011-04-13 18:20:49
632,227,8,2011-05-17 17:14:52
631,227,1,2011-05-17 17:14:34
633,227,6,2011-05-20 20:41:53
635,228,8,2010-09-23 16:37:42
634,228,1,2010-09-22 23:39:16
636,228,6,2010-09-23 16:38:14
637,229,1,2011-11-23 18:44:28
638,229,6,2011-11-23 20:21:30
642,231,6,2010-10-21 16:26:29
641,231,8,2010-10-21 00:04:16
639,231,1,2010-10-19 22:08:14
640,231,1,2010-10-21 00:03:58
643,234,1,2010-06-23 23:57:59
644,234,1,2010-06-28 20:12:55
645,234,8,2010-07-07 18:10:15
646,234,6,2010-07-07 18:10:30
647,236,1,2011-01-19 19:08:18
648,236,8,2011-02-05 01:33:09
649,236,6,2011-02-07 19:48:08
650,238,1,2010-07-23 22:27:40
651,238,8,2010-07-27 15:36:36
652,238,6,2010-07-27 15:37:32
654,239,6,2011-08-03 16:14:00
655,239,1,2011-07-14 21:26:36
653,239,8,2011-07-14 23:50:15
656,240,1,2011-07-27 23:30:16
657,240,8,2011-08-02 23:54:16
658,240,6,2011-08-10 20:43:40
659,241,1,2012-05-17 23:53:08
660,241,8,2012-05-18 14:58:20
661,241,6,2012-05-21 16:27:17
662,242,1,2012-08-02 17:26:04
663,242,8,2012-08-22 22:24:49
664,242,6,2012-08-22 22:28:26
667,243,8,2012-06-20 22:44:02
665,243,6,2012-06-20 22:44:33
666,243,1,2012-06-20 22:41:25
670,244,8,2010-11-25 02:21:52
668,244,6,2010-11-25 02:22:00
669,244,1,2010-11-25 02:02:59
671,245,1,2010-04-28 23:21:11
672,245,8,2010-04-29 18:15:16
673,245,6,2010-05-03 20:56:35
674,246,1,2010-10-27 23:21:46
675,246,1,2010-11-02 23:57:09
676,246,8,2010-11-02 23:57:16
677,246,6,2010-11-02 23:57:22
678,247,3,2012-08-10 14:59:37
679,247,8,2012-08-10 15:02:47
680,247,6,2012-08-10 15:18:58
682,248,6,2011-11-09 17:39:46
683,248,1,2011-11-08 22:32:15
681,248,6,2011-11-09 17:39:45
684,249,1,2011-04-20 15:34:05
685,249,8,2011-04-20 15:35:25
686,249,6,2011-04-27 17:53:20
687,250,1,2011-02-23 02:06:59
688,250,8,2011-02-23 02:07:16
689,250,6,2011-02-28 19:43:36
690,251,1,2012-06-26 22:50:34
691,251,8,2012-07-03 15:44:06
692,251,6,2012-07-06 16:50:50
697,252,6,2011-02-28 18:40:26
696,252,6,2011-01-21 00:21:38
694,252,8,2011-01-24 22:38:44
695,252,8,2011-01-19 23:55:35
693,252,1,2011-01-19 23:55:14
698,254,1,2010-11-23 18:55:28
699,254,8,2010-11-30 23:09:41
700,254,6,2010-11-30 23:10:42
701,255,1,2012-03-06 17:24:19
702,255,8,2012-03-06 22:39:56
703,255,6,2012-03-06 23:07:30
704,256,1,2011-01-12 01:41:38
705,256,8,2011-01-27 19:59:56
706,256,6,2011-01-27 20:00:26
709,257,6,2011-02-09 22:50:56
708,257,8,2011-02-09 22:50:46
707,257,1,2011-01-28 20:42:47
710,258,1,2010-12-02 18:21:12
711,258,8,2010-12-02 19:16:17
712,258,9,2010-12-02 19:16:35
713,258,8,2010-12-07 01:45:40
714,258,6,2010-12-07 01:45:48
715,259,1,2010-03-23 17:10:15
716,259,1,2010-03-24 17:39:07
717,259,8,2010-03-24 17:39:20
718,259,6,2010-05-06 15:36:35
722,260,6,2010-11-15 22:47:26
721,260,8,2010-10-19 18:17:06
719,260,1,2010-10-18 21:15:06
720,260,1,2010-10-18 21:29:40
723,261,1,2012-07-30 18:55:26
724,261,8,2012-07-30 18:55:48
725,261,6,2012-07-30 21:14:37
726,263,1,2011-12-29 01:51:52
727,263,8,2011-12-29 19:16:43
728,263,6,2011-12-30 17:01:38
731,264,8,2011-03-11 17:05:59
729,264,6,2011-03-11 17:22:38
730,264,1,2011-03-09 22:27:13
734,266,6,2012-06-20 15:11:19
732,266,6,2012-06-20 15:11:20
