org:resource,Activity,lifecycle:transition,Timestamp,Case ID
NONE,t16,complete,2022-06-03 05:01:44,trace_38
NONE,t1,complete,2022-05-28 11:01:44,trace_18
NONE,t2,complete,2022-05-28 12:01:44,trace_18
NONE,t4,complete,2022-05-28 13:01:44,trace_18
NONE,t6,complete,2022-05-28 14:01:44,trace_18
NONE,t13,complete,2022-05-28 15:01:44,trace_18
NONE,t15,complete,2022-05-28 16:01:44,trace_18
NONE,t16,complete,2022-05-28 17:01:44,trace_18
NONE,t1,complete,2022-06-02 17:01:44,trace_37
NONE,t2,complete,2022-06-02 18:01:44,trace_37
NONE,t4,complete,2022-06-02 19:01:44,trace_37
NONE,t6,complete,2022-06-02 20:01:44,trace_37
NONE,t14,complete,2022-06-02 21:01:44,trace_37
NONE,t16,complete,2022-06-02 22:01:44,trace_37
NONE,t1,complete,2022-05-29 19:01:44,trace_23
NONE,t2,complete,2022-05-29 20:01:44,trace_23
NONE,t4,complete,2022-05-29 21:01:44,trace_23
NONE,t7,complete,2022-05-29 22:01:44,trace_23
NONE,t17,complete,2022-05-29 23:01:44,trace_23
NONE,t31,complete,2022-05-30 00:01:44,trace_23
NONE,t32,complete,2022-05-30 01:01:44,trace_23
NONE,t1,complete,2022-06-06 10:01:44,trace_50
NONE,t2,complete,2022-06-06 11:01:44,trace_50
NONE,t4,complete,2022-06-06 12:01:44,trace_50
NONE,t7,complete,2022-06-06 13:01:44,trace_50
NONE,t17,complete,2022-06-06 14:01:44,trace_50
NONE,t31,complete,2022-06-06 15:01:44,trace_50
NONE,t32,complete,2022-06-06 16:01:44,trace_50
NONE,t1,complete,2022-06-02 10:01:44,trace_36
NONE,t2,complete,2022-06-02 11:01:44,trace_36
NONE,t4,complete,2022-06-02 12:01:44,trace_36
NONE,t7,complete,2022-06-02 13:01:44,trace_36
NONE,t18,complete,2022-06-02 14:01:44,trace_36
NONE,t31,complete,2022-06-02 15:01:44,trace_36
NONE,t33,complete,2022-06-02 16:01:44,trace_36
NONE,t1,complete,2022-06-01 15:01:44,trace_33
NONE,t2,complete,2022-06-01 16:01:44,trace_33
NONE,t4,complete,2022-06-01 17:01:44,trace_33
NONE,t7,complete,2022-06-01 18:01:44,trace_33
NONE,t18,complete,2022-06-01 19:01:44,trace_33
NONE,t31,complete,2022-06-01 20:01:44,trace_33
NONE,t33,complete,2022-06-01 21:01:44,trace_33
NONE,t1,complete,2022-05-31 05:01:44,trace_28
NONE,t2,complete,2022-05-31 06:01:44,trace_28
NONE,t4,complete,2022-05-31 07:01:44,trace_28
NONE,t7,complete,2022-05-31 08:01:44,trace_28
NONE,t18,complete,2022-05-31 09:01:44,trace_28
NONE,t31,complete,2022-05-31 10:01:44,trace_28
NONE,t33,complete,2022-05-31 11:01:44,trace_28
NONE,t1,complete,2022-05-27 02:01:44,trace_13
NONE,t2,complete,2022-05-27 03:01:44,trace_13
NONE,t4,complete,2022-05-27 04:01:44,trace_13
NONE,t8,complete,2022-05-27 05:01:44,trace_13
NONE,t19,complete,2022-05-27 06:01:44,trace_13
NONE,t25,complete,2022-05-27 07:01:44,trace_13
NONE,t26,complete,2022-05-27 08:01:44,trace_13
NONE,t1,complete,2022-06-04 04:01:44,trace_42
NONE,t2,complete,2022-06-04 05:01:44,trace_42
NONE,t4,complete,2022-06-04 06:01:44,trace_42
NONE,t8,complete,2022-06-04 07:01:44,trace_42
NONE,t20,complete,2022-06-04 08:01:44,trace_42
NONE,t1,complete,2022-06-01 22:01:44,trace_34
NONE,t2,complete,2022-06-01 23:01:44,trace_34
NONE,t4,complete,2022-06-02 00:01:44,trace_34
NONE,t8,complete,2022-06-02 01:01:44,trace_34
NONE,t20,complete,2022-06-02 02:01:44,trace_34
NONE,t1,complete,2022-05-29 14:01:44,trace_22
NONE,t2,complete,2022-05-29 15:01:44,trace_22
NONE,t4,complete,2022-05-29 16:01:44,trace_22
NONE,t8,complete,2022-05-29 17:01:44,trace_22
NONE,t20,complete,2022-05-29 18:01:44,trace_22
NONE,t1,complete,2022-06-07 07:01:44,trace_53
NONE,t2,complete,2022-06-07 08:01:44,trace_53
NONE,t4,complete,2022-06-07 09:01:44,trace_53
NONE,t8,complete,2022-06-07 10:01:44,trace_53
NONE,t20,complete,2022-06-07 11:01:44,trace_53
NONE,t1,complete,2022-06-07 00:01:44,trace_52
NONE,t2,complete,2022-06-07 01:01:44,trace_52
NONE,t4,complete,2022-06-07 02:01:44,trace_52
NONE,t8,complete,2022-06-07 03:01:44,trace_52
NONE,t21,complete,2022-06-07 04:01:44,trace_52
NONE,t22,complete,2022-06-07 05:01:44,trace_52
NONE,t30,complete,2022-06-07 06:01:44,trace_52
NONE,t1,complete,2022-06-06 02:01:44,trace_49
NONE,t38,complete,2022-06-06 03:01:44,trace_49
NONE,t4,complete,2022-06-06 04:01:44,trace_49
NONE,t40,complete,2022-06-06 05:01:44,trace_49
NONE,t42,complete,2022-06-06 06:01:44,trace_49
NONE,t1,complete,2022-06-06 07:01:44,trace_49
NONE,t42,complete,2022-06-06 08:01:44,trace_49
NONE,t44,complete,2022-06-06 09:01:44,trace_49
NONE,t1,complete,2022-06-03 06:01:44,trace_39
NONE,t38,complete,2022-06-03 07:01:44,trace_39
NONE,t4,complete,2022-06-03 08:01:44,trace_39
NONE,t40,complete,2022-06-03 09:01:44,trace_39
NONE,t42,complete,2022-06-03 10:01:44,trace_39
NONE,t1,complete,2022-06-03 11:01:44,trace_39
NONE,t42,complete,2022-06-03 12:01:44,trace_39
NONE,t44,complete,2022-06-03 13:01:44,trace_39
NONE,t1,complete,2022-05-26 06:01:44,trace_10
NONE,t38,complete,2022-05-26 07:01:44,trace_10
NONE,t4,complete,2022-05-26 08:01:44,trace_10
NONE,t40,complete,2022-05-26 09:01:44,trace_10
NONE,t42,complete,2022-05-26 10:01:44,trace_10
NONE,t1,complete,2022-05-26 11:01:44,trace_10
NONE,t42,complete,2022-05-26 12:01:44,trace_10
NONE,t44,complete,2022-05-26 13:01:44,trace_10
NONE,t1,complete,2022-05-25 02:01:44,trace_6
NONE,t38,complete,2022-05-25 03:01:44,trace_6
NONE,t4,complete,2022-05-25 04:01:44,trace_6
NONE,t5,complete,2022-05-25 05:01:44,trace_6
NONE,t9,complete,2022-05-25 06:01:44,trace_6
NONE,t11,complete,2022-05-25 07:01:44,trace_6
NONE,t27,complete,2022-05-25 08:01:44,trace_6
NONE,t1,complete,2022-06-05 06:01:44,trace_46
NONE,t38,complete,2022-06-05 07:01:44,trace_46
NONE,t4,complete,2022-06-05 08:01:44,trace_46
NONE,t6,complete,2022-06-05 09:01:44,trace_46
NONE,t13,complete,2022-06-05 10:01:44,trace_46
NONE,t15,complete,2022-06-05 11:01:44,trace_46
NONE,t16,complete,2022-06-05 12:01:44,trace_46
NONE,t1,complete,2022-06-02 03:01:44,trace_35
NONE,t38,complete,2022-06-02 04:01:44,trace_35
NONE,t4,complete,2022-06-02 05:01:44,trace_35
NONE,t6,complete,2022-06-02 06:01:44,trace_35
NONE,t13,complete,2022-06-02 07:01:44,trace_35
NONE,t15,complete,2022-06-02 08:01:44,trace_35
NONE,t16,complete,2022-06-02 09:01:44,trace_35
NONE,t1,complete,2022-05-28 04:01:44,trace_17
NONE,t38,complete,2022-05-28 05:01:44,trace_17
NONE,t4,complete,2022-05-28 06:01:44,trace_17
NONE,t6,complete,2022-05-28 07:01:44,trace_17
NONE,t13,complete,2022-05-28 08:01:44,trace_17
NONE,t15,complete,2022-05-28 09:01:44,trace_17
NONE,t16,complete,2022-05-28 10:01:44,trace_17
NONE,t1,complete,2022-06-05 13:01:44,trace_47
NONE,t38,complete,2022-06-05 14:01:44,trace_47
NONE,t4,complete,2022-06-05 15:01:44,trace_47
NONE,t6,complete,2022-06-05 16:01:44,trace_47
NONE,t14,complete,2022-06-05 17:01:44,trace_47
NONE,t16,complete,2022-06-05 18:01:44,trace_47
NONE,t1,complete,2022-06-03 21:01:44,trace_41
NONE,t38,complete,2022-06-03 22:01:44,trace_41
NONE,t4,complete,2022-06-03 23:01:44,trace_41
NONE,t7,complete,2022-06-04 00:01:44,trace_41
NONE,t17,complete,2022-06-04 01:01:44,trace_41
NONE,t31,complete,2022-06-04 02:01:44,trace_41
NONE,t32,complete,2022-06-04 03:01:44,trace_41
NONE,t1,complete,2022-06-08 16:01:44,trace_58
NONE,t38,complete,2022-06-08 17:01:44,trace_58
NONE,t4,complete,2022-06-08 18:01:44,trace_58
NONE,t7,complete,2022-06-08 19:01:44,trace_58
NONE,t17,complete,2022-06-08 20:01:44,trace_58
NONE,t31,complete,2022-06-08 21:01:44,trace_58
NONE,t32,complete,2022-06-08 22:01:44,trace_58
NONE,t1,complete,2022-05-29 07:01:44,trace_21
NONE,t38,complete,2022-05-29 08:01:44,trace_21
NONE,t4,complete,2022-05-29 09:01:44,trace_21
NONE,t7,complete,2022-05-29 10:01:44,trace_21
NONE,t18,complete,2022-05-29 11:01:44,trace_21
NONE,t31,complete,2022-05-29 12:01:44,trace_21
NONE,t33,complete,2022-05-29 13:01:44,trace_21
NONE,t1,complete,2022-06-08 23:01:44,trace_59
NONE,t38,complete,2022-06-09 00:01:44,trace_59
NONE,t4,complete,2022-06-09 01:01:44,trace_59
NONE,t7,complete,2022-06-09 02:01:44,trace_59
NONE,t18,complete,2022-06-09 03:01:44,trace_59
NONE,t31,complete,2022-06-09 04:01:44,trace_59
NONE,t33,complete,2022-06-09 05:01:44,trace_59
NONE,t1,complete,2022-05-28 18:01:44,trace_19
NONE,t38,complete,2022-05-28 19:01:44,trace_19
NONE,t4,complete,2022-05-28 20:01:44,trace_19
NONE,t8,complete,2022-05-28 21:01:44,trace_19
NONE,t19,complete,2022-05-28 22:01:44,trace_19
NONE,t24,complete,2022-05-28 23:01:44,trace_19
NONE,t26,complete,2022-05-29 00:01:44,trace_19
NONE,t1,complete,2022-05-26 21:01:44,trace_12
NONE,t38,complete,2022-05-26 22:01:44,trace_12
NONE,t4,complete,2022-05-26 23:01:44,trace_12
NONE,t8,complete,2022-05-27 00:01:44,trace_12
NONE,t20,complete,2022-05-27 01:01:44,trace_12
NONE,t1,complete,2022-06-07 12:01:44,trace_54
NONE,t38,complete,2022-06-07 13:01:44,trace_54
NONE,t4,complete,2022-06-07 14:01:44,trace_54
NONE,t8,complete,2022-06-07 15:01:44,trace_54
NONE,t21,complete,2022-06-07 16:01:44,trace_54
NONE,t23,complete,2022-06-07 17:01:44,trace_54
NONE,t29,complete,2022-06-07 18:01:44,trace_54
NONE,t1,complete,2022-05-29 01:01:44,trace_20
NONE,t3,complete,2022-05-29 02:01:44,trace_20
NONE,t4,complete,2022-05-29 03:01:44,trace_20
NONE,t40,complete,2022-05-29 04:01:44,trace_20
NONE,t42,complete,2022-05-29 05:01:44,trace_20
NONE,t44,complete,2022-05-29 06:01:44,trace_20
NONE,t1,complete,2022-06-04 16:01:44,trace_44
NONE,t3,complete,2022-06-04 17:01:44,trace_44
NONE,t4,complete,2022-06-04 18:01:44,trace_44
NONE,t5,complete,2022-06-04 19:01:44,trace_44
NONE,t9,complete,2022-06-04 20:01:44,trace_44
NONE,t10,complete,2022-06-04 21:01:44,trace_44
NONE,t27,complete,2022-06-04 22:01:44,trace_44
NONE,t1,complete,2022-06-03 14:01:44,trace_40
NONE,t3,complete,2022-06-03 15:01:44,trace_40
NONE,t4,complete,2022-06-03 16:01:44,trace_40
NONE,t5,complete,2022-06-03 17:01:44,trace_40
NONE,t9,complete,2022-06-03 18:01:44,trace_40
NONE,t11,complete,2022-06-03 19:01:44,trace_40
NONE,t27,complete,2022-06-03 20:01:44,trace_40
NONE,t1,complete,2022-06-04 09:01:44,trace_43
NONE,t3,complete,2022-06-04 10:01:44,trace_43
NONE,t4,complete,2022-06-04 11:01:44,trace_43
NONE,t5,complete,2022-06-04 12:01:44,trace_43
NONE,t9,complete,2022-06-04 13:01:44,trace_43
NONE,t11,complete,2022-06-04 14:01:44,trace_43
NONE,t27,complete,2022-06-04 15:01:44,trace_43
NONE,t1,complete,2022-06-06 17:01:44,trace_51
NONE,t3,complete,2022-06-06 18:01:44,trace_51
NONE,t4,complete,2022-06-06 19:01:44,trace_51
NONE,t5,complete,2022-06-06 20:01:44,trace_51
NONE,t9,complete,2022-06-06 21:01:44,trace_51
NONE,t11,complete,2022-06-06 22:01:44,trace_51
NONE,t27,complete,2022-06-06 23:01:44,trace_51
NONE,t1,complete,2022-06-01 08:01:44,trace_32
NONE,t3,complete,2022-06-01 09:01:44,trace_32
NONE,t4,complete,2022-06-01 10:01:44,trace_32
NONE,t6,complete,2022-06-01 11:01:44,trace_32
NONE,t13,complete,2022-06-01 12:01:44,trace_32
NONE,t15,complete,2022-06-01 13:01:44,trace_32
NONE,t16,complete,2022-06-01 14:01:44,trace_32
NONE,t1,complete,2022-05-24 06:01:44,trace_3
NONE,t3,complete,2022-05-24 07:01:44,trace_3
NONE,t4,complete,2022-05-24 08:01:44,trace_3
NONE,t6,complete,2022-05-24 09:01:44,trace_3
NONE,t13,complete,2022-05-24 10:01:44,trace_3
NONE,t15,complete,2022-05-24 11:01:44,trace_3
NONE,t16,complete,2022-05-24 12:01:44,trace_3
NONE,t1,complete,2022-05-31 12:01:44,trace_29
NONE,t3,complete,2022-05-31 13:01:44,trace_29
NONE,t4,complete,2022-05-31 14:01:44,trace_29
NONE,t6,complete,2022-05-31 15:01:44,trace_29
NONE,t14,complete,2022-05-31 16:01:44,trace_29
NONE,t16,complete,2022-05-31 17:01:44,trace_29
NONE,t1,complete,2022-05-30 02:01:44,trace_24
NONE,t3,complete,2022-05-30 03:01:44,trace_24
NONE,t4,complete,2022-05-30 04:01:44,trace_24
NONE,t6,complete,2022-05-30 05:01:44,trace_24
NONE,t14,complete,2022-05-30 06:01:44,trace_24
NONE,t16,complete,2022-05-30 07:01:44,trace_24
NONE,t1,complete,2022-05-24 20:01:44,trace_5
NONE,t3,complete,2022-05-24 21:01:44,trace_5
NONE,t4,complete,2022-05-24 22:01:44,trace_5
NONE,t6,complete,2022-05-24 23:01:44,trace_5
NONE,t14,complete,2022-05-25 00:01:44,trace_5
NONE,t16,complete,2022-05-25 01:01:44,trace_5
NONE,t1,complete,2022-05-27 22:01:44,trace_16
NONE,t3,complete,2022-05-27 23:01:44,trace_16
NONE,t4,complete,2022-05-28 00:01:44,trace_16
NONE,t6,complete,2022-05-28 01:01:44,trace_16
NONE,t14,complete,2022-05-28 02:01:44,trace_16
NONE,t16,complete,2022-05-28 03:01:44,trace_16
NONE,t1,complete,2022-05-30 22:01:44,trace_27
NONE,t3,complete,2022-05-30 23:01:44,trace_27
NONE,t4,complete,2022-05-31 00:01:44,trace_27
NONE,t7,complete,2022-05-31 01:01:44,trace_27
NONE,t17,complete,2022-05-31 02:01:44,trace_27
NONE,t31,complete,2022-05-31 03:01:44,trace_27
NONE,t32,complete,2022-05-31 04:01:44,trace_27
NONE,t1,complete,2022-05-23 18:01:44,trace_1
NONE,t3,complete,2022-05-23 19:01:44,trace_1
NONE,t4,complete,2022-05-23 20:01:44,trace_1
NONE,t7,complete,2022-05-23 21:01:44,trace_1
NONE,t17,complete,2022-05-23 22:01:44,trace_1
NONE,t31,complete,2022-05-23 23:01:44,trace_1
NONE,t32,complete,2022-05-24 00:01:44,trace_1
NONE,t1,complete,2022-06-08 02:01:44,trace_56
NONE,t3,complete,2022-06-08 03:01:44,trace_56
NONE,t4,complete,2022-06-08 04:01:44,trace_56
NONE,t7,complete,2022-06-08 05:01:44,trace_56
NONE,t17,complete,2022-06-08 06:01:44,trace_56
NONE,t31,complete,2022-06-08 07:01:44,trace_56
NONE,t32,complete,2022-06-08 08:01:44,trace_56
NONE,t1,complete,2022-06-05 19:01:44,trace_48
NONE,t3,complete,2022-06-05 20:01:44,trace_48
NONE,t4,complete,2022-06-05 21:01:44,trace_48
NONE,t7,complete,2022-06-05 22:01:44,trace_48
NONE,t18,complete,2022-06-05 23:01:44,trace_48
NONE,t31,complete,2022-06-06 00:01:44,trace_48
NONE,t33,complete,2022-06-06 01:01:44,trace_48
NONE,t1,complete,2022-05-25 09:01:44,trace_7
NONE,t3,complete,2022-05-25 10:01:44,trace_7
NONE,t4,complete,2022-05-25 11:01:44,trace_7
NONE,t7,complete,2022-05-25 12:01:44,trace_7
NONE,t18,complete,2022-05-25 13:01:44,trace_7
NONE,t31,complete,2022-05-25 14:01:44,trace_7
NONE,t33,complete,2022-05-25 15:01:44,trace_7
NONE,t1,complete,2022-05-26 14:01:44,trace_11
NONE,t3,complete,2022-05-26 15:01:44,trace_11
NONE,t4,complete,2022-05-26 16:01:44,trace_11
NONE,t7,complete,2022-05-26 17:01:44,trace_11
NONE,t18,complete,2022-05-26 18:01:44,trace_11
NONE,t31,complete,2022-05-26 19:01:44,trace_11
NONE,t33,complete,2022-05-26 20:01:44,trace_11
NONE,t1,complete,2022-05-25 23:01:44,trace_9
NONE,t3,complete,2022-05-26 00:01:44,trace_9
NONE,t4,complete,2022-05-26 01:01:44,trace_9
NONE,t8,complete,2022-05-26 02:01:44,trace_9
NONE,t19,complete,2022-05-26 03:01:44,trace_9
NONE,t24,complete,2022-05-26 04:01:44,trace_9
NONE,t26,complete,2022-05-26 05:01:44,trace_9
NONE,t1,complete,2022-05-30 08:01:44,trace_25
NONE,t3,complete,2022-05-30 09:01:44,trace_25
NONE,t4,complete,2022-05-30 10:01:44,trace_25
NONE,t8,complete,2022-05-30 11:01:44,trace_25
NONE,t19,complete,2022-05-30 12:01:44,trace_25
NONE,t25,complete,2022-05-30 13:01:44,trace_25
NONE,t26,complete,2022-05-30 14:01:44,trace_25
NONE,t1,complete,2022-05-25 16:01:44,trace_8
NONE,t3,complete,2022-05-25 17:01:44,trace_8
NONE,t4,complete,2022-05-25 18:01:44,trace_8
NONE,t8,complete,2022-05-25 19:01:44,trace_8
NONE,t19,complete,2022-05-25 20:01:44,trace_8
NONE,t25,complete,2022-05-25 21:01:44,trace_8
NONE,t26,complete,2022-05-25 22:01:44,trace_8
NONE,t1,complete,2022-05-24 01:01:44,trace_2
NONE,t3,complete,2022-05-24 02:01:44,trace_2
NONE,t4,complete,2022-05-24 03:01:44,trace_2
NONE,t8,complete,2022-05-24 04:01:44,trace_2
NONE,t20,complete,2022-05-24 05:01:44,trace_2
NONE,t1,complete,2022-05-31 18:01:44,trace_30
NONE,t3,complete,2022-05-31 19:01:44,trace_30
NONE,t4,complete,2022-05-31 20:01:44,trace_30
NONE,t8,complete,2022-05-31 21:01:44,trace_30
NONE,t21,complete,2022-05-31 22:01:44,trace_30
NONE,t22,complete,2022-05-31 23:01:44,trace_30
NONE,t30,complete,2022-06-01 00:01:44,trace_30
NONE,t1,complete,2022-06-01 01:01:44,trace_31
NONE,t3,complete,2022-06-01 02:01:44,trace_31
NONE,t4,complete,2022-06-01 03:01:44,trace_31
NONE,t8,complete,2022-06-01 04:01:44,trace_31
NONE,t21,complete,2022-06-01 05:01:44,trace_31
NONE,t22,complete,2022-06-01 06:01:44,trace_31
NONE,t30,complete,2022-06-01 07:01:44,trace_31
NONE,t1,complete,2022-05-30 15:01:44,trace_26
NONE,t3,complete,2022-05-30 16:01:44,trace_26
NONE,t4,complete,2022-05-30 17:01:44,trace_26
NONE,t8,complete,2022-05-30 18:01:44,trace_26
NONE,t21,complete,2022-05-30 19:01:44,trace_26
NONE,t23,complete,2022-05-30 20:01:44,trace_26
NONE,t28,complete,2022-05-30 21:01:44,trace_26
NONE,t1,complete,2022-06-08 09:01:44,trace_57
NONE,t3,complete,2022-06-08 10:01:44,trace_57
NONE,t4,complete,2022-06-08 11:01:44,trace_57
NONE,t8,complete,2022-06-08 12:01:44,trace_57
NONE,t21,complete,2022-06-08 13:01:44,trace_57
NONE,t23,complete,2022-06-08 14:01:44,trace_57
NONE,t29,complete,2022-06-08 15:01:44,trace_57
